property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price,row_id,row_num,sqft_numeric,sale_price,price_per_sqft_numeric
"  Office Space for Sale in Nanpura Surat","Super Area","2000 sqft",Resale,"Ready to Move","Ground out of 1",NULL,NULL,"The office is now on the main road. Opp New construction of Municipal Hospital with MBBS college, almost ready. The Metro Train center is just 2 minutes away from where metro will go to all areas. The office is on the ground floor. 2000 sq ft. area. Ideal for Medical Shops, Restaurants, PG accommodations, Daycare hospitals, or Polyclinics. CA office, ATM, or for Bank use. Preferred outright sale but available on rent for corporates.Read more","₹15,000 per sqft ","₹3 Cr ",3784,1,2000.00,30000000,15000
"  Office Space for Sale in Nanpura Surat","Super Area","525 sqft",NULL,"Ready to Move",NULL,NULL,NULL,"  Commercial Office Space is available for Sale in Nanpura, Surat for 35.0 Lac(s)Read more","₹6,667 per sqft ","₹35 Lac ",135,1,525.00,3500000,6667
"  Office Space for Sale in Nanpura Surat","Super Area","600 sqft",Resale,"Ready to Move","4 out of 5",NULL,NULL,NULL,"₹4,167 per sqft ","₹25 Lac ",179,1,600.00,2500000,4167
"  Office Space for Sale in Nanpura Surat","Super Area","780 sqft",Resale,"Ready to Move","4 out of 5",NULL,NULL,NULL,"₹6,026 per sqft ","₹47 Lac ",502,1,780.00,4700000,6026
"  Office Space for Sale in Nanpura Surat","Super Area","800 sqft",Resale,"Ready to Move","2 out of 6",NULL,NULL,"Property is suitable for Lawyers, Chartered Accountants and other Back office work.Read more","₹5,250 per sqft ","₹42 Lac ",32,1,800.00,4200000,5250
"  Office Space for Sale in Nathubhai Towers Surat","Carpet Area","600 sqft",Resale,"Ready to Move","4 out of 6",NULL,NULL,"main road facing, good light and air","₹3,429 per sqft ","₹24 Lac ",995,1,600.00,2400000,3429
"  Office Space for Sale in New citylight Surat","Super Area","1114 sqft","New Property","Poss. by Aug '25","4 out of 12",NULL,NULL,NULL,"₹6,800 per sqft ","₹75.8 Lac ",2494,1,1114.00,7580000,6800
"  Office Space for Sale in oberon business hub Surat","Carpet Area","290 sqft",Resale,"Ready to Move","1 out of 5",NULL,NULL,NULL,"₹10,517 per sqft ","₹61 Lac ",1800,1,290.00,6100000,10517
"  Office Space for Sale in Olpad Surat","Super Area","800 sqft",Resale,"Ready to Move","4 out of 6",NULL,NULL,NULL,"₹8,750 per sqft ","₹70 Lac ",1839,1,800.00,7000000,8750
"  Office Space for Sale in Pal Gam Surat","Carpet Area","183 sqft",Resale,"Ready to Move","4 out of 4",NULL,NULL,"main road location","₹5,946 per sqft ","₹22 Lac ",1189,1,183.00,2200000,5946
"  Office Space for Sale in Pal Gam Surat","Carpet Area","299 sqft","New Property","Ready to Move","2 out of 4",NULL,NULL,"  Commercial Office Space is located on 2nd floor. It faces North - West direction. The type of ownership is Freehold. Modern construction is done in this newly built Commercial Office Space. Read more","₹6,667 per sqft ","₹20 Lac ",773,1,299.00,2000000,6667
"  Office Space for Sale in Pal Road Surat","Carpet Area","185 sqft",Resale,"Ready to Move","4 out of 4",NULL,NULL,NULL,"₹6,216 per sqft ","₹23 Lac ",661,1,185.00,2300000,6216
"  Office Space for Sale in Pal Road Surat","Carpet Area","300 sqft",Resale,"Ready to Move","3 out of 5",NULL,NULL,"distance from railway station 8-10kmjust 2 ninutes distance from TGB restaurant and Macdonalsand 5 minutes distance from star bazaron main roadRead more","₹7,605 per sqft ","₹40 Lac ",1012,1,300.00,4000000,7605
"  Office Space for Sale in Pal Surat","Carpet Area","226 sqft",Resale,"Ready to Move","2 out of 5",NULL,NULL,NULL,"₹7,675 per sqft ","₹35 Lac ",715,1,226.00,3500000,7675
"  Office Space for Sale in Pal Surat","Carpet Area","2737 sqft","New Property","Ready to Move","9 out of 21",NULL,NULL,"Best for Private office space like a showroom, Retail Office, Software Office , or Studio Office.Read more","₹4,499 per sqft ","₹2.46 Cr ",3869,1,2737.00,24600000,4499
"  Office Space for Sale in Pal Surat","Carpet Area","286 sqft",Resale,"Ready to Move","3 out of 4",NULL,NULL,"Front view, spacious, very well maintained, close to Pal Umra bridgeRead more","₹6,381 per sqft ","₹36.5 Lac ",642,1,286.00,3650000,6381
"  Office Space for Sale in Pal Surat","Carpet Area","410 sqft",Resale,"Ready to Move","12 out of 12",NULL,NULL,NULL,"₹10,000 per sqft ","₹70 Lac ",1880,1,410.00,7000000,10000
"  Office Space for Sale in Pal Surat","Super Area","700 sqft","New Property","Ready to Move","2 out of 5",NULL,NULL,NULL,"₹16,500 per sqft ","₹1.15 Cr ",3603,1,700.00,11500000,16500
"  Office Space for Sale in Palanpur Surat","Carpet Area","25 sqm",Resale,"Ready to Move","2 out of 4",NULL,NULL,"good location","₹7,231 per sqft ","₹35 Lac ",729,1,269.10,3500000,7231
"  Office Space for Sale in Pandesara Surat","Super Area","1120 sqft",NULL,"Ready to Move",NULL,NULL,NULL,NULL,"₹3,839 per sqft ","₹43 Lac ",735,1,1120.00,4300000,3839
"  Office Space for Sale in Parley Point Surat","Super Area","3000 sqft","New Property","Ready to Move","4 out of 8",NULL,NULL,NULL,"₹14,000 per sqft ","₹4.20 Cr ",4283,1,3000.00,42000000,14000
"  Office Space for Sale in Parley Point Surat","Super Area","3500 sqft","New Property","Ready to Move","4 out of 8",NULL,NULL,NULL,"₹9,000 per sqft ","₹3.15 Cr ",4319,1,3500.00,31500000,9000
"  Office Space for Sale in Patel Nagar Surat","Super Area","1800 sqft",Resale,"Ready to Move","Ground out of 3",NULL,NULL,"  Commercial Office Space is available for Sale in Patel Nagar, Surat for 1.2 Crore(s)Read more","₹6,667 per sqft ","₹1.20 Cr ",3076,1,1800.00,12000000,6667
"  Office Space for Sale in Piplod Surat","Super Area","3500 sqft",Resale,"Ready to Move","3 out of 5",NULL,NULL,"Commercial Office For Sell Like Provide bank For Long Lease Attractive 1.70L Rent IncomeRead more","₹12,314 per sqft ","₹4.31 Cr ",4180,1,3500.00,43100000,12314
"  Office Space for Sale in Piplod Surat","Super Area","3528 sqft","New Property","Ready to Move","6 out of 7",NULL,NULL,"This property is located at main location good for long term investments and rental income.Read more","₹8,503 per sqft ","₹3 Cr ",3885,1,3528.00,30000000,8503
"  Office Space for Sale in Punagam Surat","Carpet Area","496 sqft",Resale,"Ready to Move","3 out of 4",NULL,NULL,NULL,"₹6,652 per sqft ","₹60 Lac ",1679,1,496.00,6000000,6652
"  Office Space for Sale in Punagam Surat","Super Area","340 sqft",Resale,"Ready to Move","1 out of 5",NULL,NULL,"deeply in the building, but straight viewing to front main road. middle in vertical raw.Read more","₹10,294 per sqft ","₹35 Lac ",495,1,340.00,3500000,10294
"  Office Space for Sale in Raajmahal AC Mall, Punagam Surat","Super Area","855 sqft",Resale,"Ready to Move","Ground out of 6",NULL,NULL,"Commercial Office For Sell In Punagam Prime Area .Suitable For Textile Business .Contact for More Details.Read more","₹7,602 per sqft ","₹65 Lac ",2474,1,855.00,6500000,7602
"  Office Space for Sale in Raghuvir Textile Mall, Parvat Patiya Surat","Carpet Area","2262 sqft",Resale,"Ready to Move","7 out of 8",NULL,NULL,"  Commercial Office Space is available for Sale in Parvat Patiya, Surat for 1.1 Crore(s)Read more","₹4,863 per sqft ","₹1.10 Cr ",3045,1,2262.00,11000000,4863
"  Office Space for Sale in Rajhans Olympia, Bhatar Surat","Carpet Area","220 sqft","New Property","Ready to Move","4 out of 4",NULL,NULL,"its office use only we have shop also in 2nd floor that one is price deferent u can call for visitRead more","₹5,795 per sqft ","₹25.5 Lac ",1260,1,220.00,2550000,5795
"  Office Space for Sale in Rajhans Stadium Plaza, Palanpur Surat","Super Area","540 sqft",Resale,"Ready to Move","3 out of 4",NULL,NULL,NULL,"₹5,185 per sqft ","₹28 Lac ",358,1,540.00,2800000,5185
"  Office Space for Sale in Ring Road Surat","Carpet Area","1000 sqft",Resale,"Ready to Move","5 out of 8",NULL,NULL,"property is loacted a cross junction of civil char rasta. great view of road form property.Read more","₹6,000 per sqft ","₹72 Lac ",1788,1,1000.00,7200000,6000
"  Office Space for Sale in Ring Road Surat","Carpet Area","1160 sqft",Resale,"Ready to Move","2 out of 10",NULL,NULL,"Unlock the potential of your business with this exclusive Office Space for Sale situated in the vibrant locale of Ring Road, Surat. Boasting a prime location, this commercial space offers a strategic address for your enterprise. So, seize this opportunity right away and kick start your dream venture.::::::Property Specifications::::::Spanning a generous super area of 1885 sqft and a practical carpet area of 1160 sqft, this office space offers comfortable space to set up a new venture or expand the existing one. Situated on the 2nd floor of a 10-storey building, this office space is designed to maximize natural light and ventilation.::::::This semi-furnished space offers a versatile open hall, complemented by a cabin for privacy. The office is facilitated with air conditioning units for added comfort and is  adorned with vitrified flooring, ensuring a polished and professional ambiance. Also, this office space is facilitated with one washroom for the convenience of the staff. With its modern features and layout, this office is suitable for a variety of commercial purposes.::::::Facilities::::::This property comes with facilities such as one covered parking space, 24-hour water supply, 100% power backup, security personnel, CCTV installation, and three elevators for convenient access to different floors.::::::Locality::::::Centrally located in a bustling commercial area, this office is easily accessible by public transport, including buses and autos. Also, there is a railway station within a stretch of 2-3km. Infrastructures such as hospitals, malls, supermarkets, and banks/ATMs are all in close proximity, ensuring a well-connected and dynamic business environment.::Read more","₹6,101 per sqft ","₹1.15 Cr ",3103,1,1160.00,11500000,6101
"  Office Space for Sale in Ring Road Surat","Carpet Area","180 sqft",Resale,"Ready to Move","4 out of 6",NULL,NULL,NULL,"₹6,333 per sqft ","₹19 Lac ",338,1,180.00,1900000,6333
"  Office Space for Sale in Ring Road Surat","Carpet Area","190 sqft",Resale,"Ready to Move","4 out of 6",NULL,NULL,NULL,"₹9,474 per sqft ","₹18 Lac ",824,1,190.00,1800000,9474
"  Office Space for Sale in Ring Road Surat","Carpet Area","610 sqft",Resale,"Ready to Move","5 out of 8",NULL,NULL,"walking distance from railway station and bus stand and near by APMC and Number of restaurantsRead more","₹7,416 per sqft ","₹62 Lac ",1711,1,610.00,6200000,7416
"  Office Space for Sale in Ring Road Surat","Super Area","2530 sqft",Resale,"Ready to Move","1 out of 1",NULL,NULL,"Commercial office space is available for sale. It is a good location property. Please contact for more details.Read more","₹13,834 per sqft ","₹3.50 Cr ",3783,1,2530.00,35000000,13834
"  Office Space for Sale in Ring Road Surat","Super Area","300 sqft",Resale,"Ready to Move","1 out of 10",NULL,NULL,NULL,"₹11,667 per sqft ","₹35 Lac ",367,1,300.00,3500000,11667
"  Office Space for Sale in Ring Road Surat","Super Area","464 sqft",Resale,"Ready to Move","3 out of 4",NULL,NULL,NULL,"₹16,164 per sqft ","₹75 Lac ",1631,1,464.00,7500000,16164
"  Office Space for Sale in Sagrampura Surat","Super Area","1470 sqft",Resale,"Ready to Move","8 out of 9",NULL,NULL,"Explore this prime Office Space for Sale in Sagrampura, Surat, offering a spacious super area of 1470 sqft, located in a highly sought-after locality.Property Specifications Occupying the 8th floor in a well-designed building of 9 stories, this office space offers a total area of 1470 sqft. Designed to meet the diverse needs of a modern workspace, it boasts four cabins, a welcoming reception area, a comfortable waiting area, and a fully equipped pantry for your convenience.The premises feature one well-maintained washroom and come complete with the installation of air conditioning units, ensuring a comfortable and productive work environment. The flooring is adorned with exquisite Italian marble, adding a touch of elegance to the workspace.Strategically positioned to face the main road, this office space not only offers visibility but also ensures easy accessibility. The interiors are bathed in natural light, creating an inviting and refreshing ambience that enhances overall productivity. Suitable for a myriad of commercial purposes, this space is a perfect match for any corporate office setting. Whether you're establishing a new venture or expanding an existing one, this furnished office space provides an ideal canvas to shape your business dreams.Facilities The building provides essential facilities, including covered parking for convenience. A commitment to security is evident through 24x7 water supply, 100% power backup, and dedicated security personnel. The presence of CCTV surveillance adds an extra layer of protection, making it a secure and well-maintained commercial space. The building is equipped with four lifts for easy access to different floors.Locality Situated near Kadiwala School, the office enjoys proximity to hospitals and malls, making it a strategically advantageous location. Public transportation, including buses and autos, is readily available, facilitating seamless connectivity. Within the premises, you'll find three banks, adding to the convenience of conducting business operations.Read more","₹13,605 per sqft ","₹2 Cr ",3518,1,1470.00,20000000,13605
