property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price,row_id,row_num,sqft_numeric,sale_price,price_per_sqft_numeric
"2 BHK Apartment for Sale in Soham Elegance, Pal Surat","Super Area","1307 sqft",NULL,NULL,NULL,NULL,NULL,"Multistorey Apartment for Sale in Pal, Surat. Covered area is 1307.0  Sq-ft. This property belongs to "Soham Elegance" .Read more","₹4,250 per sqft ","₹55.6 Lac ",1495,1,1307.00,5560000,4250
"2 BHK Apartment for Sale in Soham Elegance, Pal Surat","Super Area","1322 sqft","New Property","Poss. by Sep '24","7 out of 13",Unfurnished,East,NULL,"₹4,160 per sqft ","₹55 Lac ",2440,1,1322.00,5500000,4160
"2 BHK Apartment for Sale in Soham Elegance, Pal Surat","Super Area","1322 sqft",NULL,NULL,NULL,NULL,NULL,"Multistorey Apartment for Sale in Pal, Surat. Covered area is 1322.0  Sq-ft. This property belongs to "Soham Elegance" .Read more","₹4,250 per sqft ","₹56.2 Lac ",2074,1,1322.00,5620000,4250
"2 BHK Apartment for Sale in Soham Elegance, Pal Surat","Super Area","1328 sqft",NULL,NULL,NULL,NULL,NULL,"Multistorey Apartment for Sale in Pal, Surat. Covered area is 1328.0  Sq-ft. This property belongs to "Soham Elegance" .Read more","₹4,250 per sqft ","₹56.4 Lac ",2144,1,1328.00,5640000,4250
"2 BHK Apartment for Sale in Soham Residency, Pal Gam Surat","Carpet Area","1050 sqft",Resale,"Ready to Move","1 out of 4",Unfurnished,NULL,NULL,NULL,"₹60 Lac ",2014,1,1050.00,6000000,NULL
"2 BHK Apartment for Sale in Sonifaliya Surat","Super Area","850 sqft",Resale,"Ready to Move","4 out of 5",Semi-Furnished,NULL,NULL,"₹2,588 per sqft ","₹22 Lac ",172,1,850.00,2200000,2588
"2 BHK Apartment for Sale in Star Galaxy Amroli Surat","Super Area","750 sqft",Resale,"Ready to Move","2 out of 10",Unfurnished,NULL,NULL,NULL,"Call for Price",1293,1,750.00,NULL,NULL
"2 BHK Apartment for Sale in Stuti Empress, Palan Pur Patiya Surat","Carpet Area","1100 sqft",Resale,"Ready to Move","11 out of 12",Unfurnished,East,"Stuti Express placed at strategic location at the heart of an Adajan Excellent infrastructural network, offers quick access to most of the popular placesRead more","₹3,205 per sqft ","₹40 Lac ",695,1,1100.00,4000000,3205
"2 BHK Apartment for Sale in Stuti Empress, Palanpur Surat","Super Area","1250 sqft",Resale,"Ready to Move","11 out of 12",Semi-Furnished,East,"Newly colour done , new Morden kitchen trolly installed , good sliding window installed , 3 gardens in building , flat as per vastu, main road touch and Morden amenitiesRead more","₹3,280 per sqft ","₹41 Lac ",330,1,1250.00,4100000,3280
"2 BHK Apartment for Sale in Stylome Heights, Shakti Nagar Surat","Carpet Area","1300 sqft",Resale,"Ready to Move","3 out of 11",Unfurnished,NULL,NULL,"₹4,615 per sqft ","₹60 Lac ",1762,1,1300.00,6000000,4615
"2 BHK Apartment for Sale in Sukruti Apartment  Muktanand Nagar Surat","Super Area","1000 sqft",Resale,"Ready to Move","3 out of 4",Furnished,NULL,NULL,"₹4,000 per sqft ","₹40 Lac ",637,1,1000.00,4000000,4000
"2 BHK Apartment for Sale in Sumerru Sky Leaf, Palanpur Surat","Super Area","1204 sqft","New Property","Poss. by Dec '24","5 out of 14",Unfurnished,South-West,"2 bhk and 3bhk project in palanpur.2 bhk 1204 and 1335 sq ft.3 bhk 1757, 1864 and 1986 sq ft.All Mordern Amenities.Read more","₹3,650 per sqft ","₹44 Lac ",1298,1,1204.00,4400000,3650
"2 BHK Apartment for Sale in Sumerru Sky Leaf, Palanpur Surat","Super Area","1204 sqft","New Property","Poss. by Jan '26","7 out of 14",Unfurnished,East,"This 2 BHK flat is incredibly affordable, with the option to pay just 10 upfront and the remaining amount after possession through easy EMIs. Conveniently located within walking distance to the metro station, it offers hasslefree commuting. Enjoy the perfect blend of affordability and convenience in this wellsituated residence.Read more","₹3,838 per sqft ","₹46.2 Lac ",1243,1,1204.00,4620000,3838
